Date,Home,Away,Predicted Home Margin,Predicted Home Win Probability
2026-04-07,GSW,SAC,7.7,0.772
2026-04-07,PHX,HOU,-1.6,0.435
2026-04-07,LAC,DAL,8.9,0.806
2026-04-07,LAL,OKC,-9.8,0.174
2026-04-07,NOP,UTA,7.7,0.772
2026-04-07,BOS,CHO,5.1,0.694
2026-04-07,TOR,MIA,4.5,0.672
2026-04-07,IND,MIN,-13.1,0.11
2026-04-07,BRK,MIL,-4.8,0.319
2026-04-07,WAS,CHI,-3.7,0.356
2026-04-08,CLE,ATL,3.7,0.643
2026-04-08,ORL,MIN,1.7,0.569
2026-04-08,DET,MIL,13.2,0.891
2026-04-08,SAS,POR,10.5,0.843
2026-04-08,DEN,MEM,9.9,0.829
2026-04-08,LAC,OKC,-7.2,0.24
2026-04-08,PHX,DAL,7.9,0.778
2026-04-09,HOU,PHI,6.3,0.731
2026-04-09,GSW,LAL,-1.2,0.452
2026-04-09,NYK,BOS,1.7,0.569
2026-04-09,WAS,CHI,-2.2,0.412
2026-04-09,BRK,IND,-4.2,0.338
2026-04-09,TOR,MIA,2.9,0.612
2026-04-10,NYK,TOR,8.0,0.782
2026-04-10,DEN,OKC,-4.9,0.313
2026-04-10,CHO,DET,-0.8,0.466
2026-04-10,WAS,MIA,-1.6,0.435
2026-04-10,LAL,PHX,2.4,0.596
2026-04-10,POR,LAC,-1.5,0.442
2026-04-10,MIL,BRK,9.1,0.81
2026-04-10,CHI,ORL,-4.2,0.338
2026-04-10,ATL,CLE,0.5,0.519
2026-04-10,HOU,MIN,1.9,0.575
2026-04-10,SAC,GSW,-4.3,0.336
2026-04-10,SAS,DAL,13.3,0.893
2026-04-10,IND,PHI,-6.3,0.268
2026-04-10,BOS,NOP,10.8,0.848
2026-04-10,UTA,MEM,-2.8,0.39
2026-04-12,LAL,UTA,11.5,0.863
2026-04-12,HOU,MEM,9.4,0.817
2026-04-12,SAS,DEN,5.5,0.707
2026-04-12,OKC,PHX,10.6,0.844
2026-04-12,MIN,NOP,10.0,0.832
2026-04-12,DAL,CHI,1.9,0.576
2026-04-12,LAC,GSW,4.6,0.676
2026-04-12,PHI,MIL,5.6,0.708
2026-04-12,CLE,WAS,15.6,0.923
2026-04-12,BOS,ORL,7.8,0.775
2026-04-12,NYK,CHO,4.7,0.678
2026-04-12,MIA,ATL,-1.3,0.447
2026-04-12,IND,DET,-11.2,0.144
2026-04-12,TOR,BRK,12.7,0.884
2026-04-12,POR,SAC,8.7,0.799
